Arthur LeJohn "Bo" Felder was a father of two from Lewisville. Felder was killed in action in Taji Iraq in 2004 and last November his hometown renamed a stretch of Highway 82 to honor his legacy. (5/6) https://t.co/GjRzn3O4V8,2020-05-25 15:13:47,Twitter Web App,0,3
Rudolph Johnson was part of the 92nd Infantry Division the only WWII African American combat infantry division in Europe. While fighting in Italy Johnson was reported MIA and later reported KIA. 73 years later his remains were found and returned to Arkansas for burial. (4/6) https://t.co/h1To8kAeVr,2020-05-25 15:13:47,Twitter Web App,2,1
Harold "Gene" Sellers joined the 101st Airborne Division when WWII began and parachuted behind enemy lines before the Normandy invasion. He was one of the first D-Day casualties and his sacrifice allowed Allied troops to storm the beaches the following day. (3/6) https://t.co/Xz7h43xx4h,2020-05-25 15:13:47,Twitter Web App,0,1
Jeremy Beau and Ben Wise three brothers from El Dorado served in Iraq and Afghanistan. Jeremy was one of seven Americans killed by a suicide bomber in Khost in 2009. Ben was wounded during an operation to capture a Taliban commander and later passed away in Germany. (2/6) https://t.co/0X3ktTUCQq,2020-05-25 15:13:46,Twitter Web App,1,4
This #MemorialDay I'm thinking of all the men and women who gave their lives so that we could be free. These are just a few of the soldiers from Arkansas' Fourth that made the ultimate sacrifice. (1/6),2020-05-25 15:13:46,Twitter Web App,2,11
Looking for something to do over the summer? The Congressional App Challenge is the perfect project for high school students! This annual competition is a chance for young people across the country to create design and model an original app.   Details: https://t.co/rhaZ03tLtL,2020-05-19 16:53:46,Twitter Web App,1,3
I'm hosting another telephone town hall tomorrow night at 7 p.m. CT to hear from you and answer your questions. You can watch live on my Facebook page or sign up to be dialed at https://t.co/BNStbsVMaP.  I hope you can join! https://t.co/ESo5Ka7MIG,2020-05-18 13:16:57,Twitter Web App,1,2
Speaker Pelosi's HEROES Act? More like the ZEROES Act. https://t.co/xKpnVGfRUs,2020-05-15 20:41:29,Twitter Media Studio,6,22
"The Census Bureau survey showed that nearly two-thirds of small businesses in Arkansas... had received [PPP] loans among the highest in the nation."  This is fantastic and will hopefully keep many of our well-loved community businesses operating. https://t.co/CXk1H360u8,2020-05-15 12:52:32,Twitter Web App,2,2
Teachers are always going above and beyond to help their students but this takes it to a new level! https://t.co/cTkCLBBO3y,2020-05-12 20:58:20,Twitter Web App,2,3
Don’t forget to join @LtGovTimGriffin and me tonight at 6pm CT for a live discussion on COVID-19. We’ll be taking questions from the Facebook comments section and look forward to hearing from you! https://t.co/YyDKDqaaoa,2020-05-12 13:37:40,Twitter for iPhone,4,4
Thank you Secretary Perdue for your initiative on this issue. Rural broadband is an ongoing challenge for much of my district and I hope we can soon get to a place where every American has access to fast reliable internet. https://t.co/gHINApsbXL,2020-05-12 13:34:05,Twitter Web App,2,9
Thank you to all the men and women in blue who work around the clock to keep our communities safe. If you see a police officer during #NationalPoliceWeek take a moment to thank them for their service! https://t.co/UC7OVa1q3w,2020-05-11 18:50:00,Twitter Web App,19,19
Thank you moms everywhere for everything you do. You're the only people who really know what it's like to work 24/7!  We know we can never repay you for all you've done but we celebrate you today. https://t.co/17XMkenkPj,2020-05-10 17:54:21,Twitter for iPhone,4,10
@ArkansasDWS just launched a Pandemic Unemployment Assistance website where anyone who doesn't typically qualify for unemployment benefits can apply.   All PUA payments will be backdated to when an individual lost their job because of COVID-19. https://t.co/7ARkkgO3s7,2020-05-06 13:51:44,Twitter Web App,0,0
Wishing all our educators a happy #NationalTeachersDay! Even a global pandemic hasn't stopped you from quickly adapting to the circumstances and continuing to teach students across the country.  We are grateful for all you do today and every day. https://t.co/Km0TG38yrx,2020-05-05 16:52:03,Twitter Web App,3,1
Tomorrow and Wednesday ONLY @ArkansasEDC is opening applications for a new "Ready for Business" grant program. This initiative is targeted to small businesses needing additional funding in order to be COVID-19 compliant upon reopening.  More information: https://t.co/9C0B99ZZbn,2020-05-04 19:56:00,Twitter Web App,1,1
Congratulations to all the Farm Family of the Year county winners! Now more than ever we are grateful for the service of all Arkansas' agriculture workers. You've kept our food supply chain up and running! https://t.co/uY2GpMN7ks,2020-05-04 16:36:20,Twitter Web App,2,2
Thanks to truck drivers and our supply chain personnel we can still go to the grocery store and find stocked shelves even during a global pandemic. Hopefully these masks give them an extra measure of safety as they transport goods across the country.  https://t.co/UV34LDpaWc,2020-05-01 16:19:27,Twitter Web App,1,5
Even though the 2020 tax deadline has been extended to July 15 there's no need to wait to file especially if you're expecting a refund.   The IRS free file tool has several options depending on your income level: https://t.co/1OEL8KLUYv,2020-04-30 19:04:10,Twitter Web App,1,1
An update from Entergy if you were in the path of last night's storms: https://t.co/FZMmCTMGHw,2020-04-29 14:22:38,Twitter Web App,1,0
I'm looking forward to tonight's telephone town hall! I'll be joined by AR Secretary of Commerce Mike Preston and AR Surgeon General Dr. Greg Bledsoe.  If you'd like to participate you can watch live on my Facebook page or go to my website to sign up to be dialed. https://t.co/r9RtHpgHy7,2020-04-28 18:10:29,Twitter Web App,2,3
This morning the SBA reopened Paycheck Protection Program (PPP) applications from approved lenders on behalf of eligible borrowers.  Why is this program important for Arkansas businesses? Allan Nichols CEO of Mainline Health Systems in southeast AR shares his perspective. https://t.co/OxrScJViZN,2020-04-27 15:32:12,Twitter Media Studio,20,62
I’m hosting a telephone town hall this coming Tuesday at 7 p.m. CT. To watch live and ask questions head to my Facebook page.   I look forward to hearing from you! https://t.co/gK1Qb1Y6ly,2020-04-26 23:14:47,Twitter for iPhone,4,6
Through legislation like the Trillion Trees Act we can increase planting initiatives and reach our shared goals of cleaner air and water better wildlife habitats and much more. https://t.co/MXEZcIAFid,2020-04-24 22:41:00,Twitter for iPhone,1,1
“Arbor Day is an opportunity to acknowledge the role our Nation’s forests and woodlands play in supporting our economy health and environment...we celebrate the contributions trees make to our way of life.”   Thank you @POTUS for your support of forests! https://t.co/YRjFujhTSB,2020-04-24 22:19:31,Twitter for iPhone,0,0
Today is the last day to submit pieces to the 2020 Congressional Art Competition.  Details: https://t.co/Pe9RBwBnrk,2020-04-24 13:28:00,Twitter Web App,2,1
It's #ArborDay! Even though many of us are staying home I encourage you to take time today to enjoy the beauty of the Natural State. You can plant some new trees in your yard identify the AR state tree and much more.  Let's celebrate all the good things that forests provide! https://t.co/G37Ux46qiG,2020-04-24 13:23:04,Twitter Media Studio,12,37
Right now the House is voting on whether to establish a subcommittee on COVID-19. However we already have 8 oversight processes to track relief efforts.  This is an unnecessary and partisan waste of resources.,2020-04-23 20:15:38,Twitter for iPhone,2,2
If you don't have reliable access to Wi-Fi visit this map to find places with public free internet.   Since the map is crowd-sourced if you know of an area that offers free Wi-Fi you can enter the location information to help more people in your area. https://t.co/DEQZP2jxvL,2020-04-23 18:50:20,Twitter Web App,1,1
I'm back in D.C. to vote on the Paycheck Protection Program and Health Care Enhancement Act. Before PPP funding ran out it had already assisted almost 22000 businesses in AR.  This bill will bring necessary assistance to Americans - I only wish we could've voted on it sooner. https://t.co/bKW7d6uG1w,2020-04-23 15:46:03,Twitter Media Studio,19,120
We appreciate your efforts and look forward to enjoying our national parks again in the safest way possible! #NationalParkWeek https://t.co/BdB9qbB12i,2020-04-22 17:52:40,Twitter Web App,3,8
On #EarthDay we celebrate our world's awe-inspiring natural resources and wildlife. Even if you are socially isolated you can still enjoy the outdoors - I even planted some trees in my yard this week.   I encourage you to take a moment to appreciate the beauty around you today. https://t.co/SwaGhIhDSO,2020-04-22 17:02:43,Twitter Web App,2,7
Medics doctors nurses firefighters police officers and all other first responders and medical workers are putting aside their own safety to help their communities.  One way to say thank you is through McDonald's free meals for front-line workers. We are #InThisTogether. https://t.co/McKGkzpH2i,2020-04-22 16:29:25,Twitter Web App,2,4
When it comes to environmental stewardship we should all be on the same team. The Trillion Trees Act will get us closer to our goals of clean air and water better wildlife habitats and so much more.  Thank you President Trump for your support! https://t.co/1SEIu9Hm8b,2020-04-22 16:12:31,Twitter Web App,2,6
In AR one of those keeping us moving is truck driver Phil Goodwin. After storms on Easter Sunday a local food supplier lost power. Phil worked overtime to ensure they still had generators and trailers to load with product. He's one of many heroes maintaining our supply chain! https://t.co/JrYLTpXV3R,2020-04-21 19:54:26,Twitter Web App,0,4
America depends on infrastructure workers now more than ever before. Thank you #ToThoseWhoKeepUsMoving for continuing to serve your communities by transporting goods providing clean water and so much more. We are grateful for your service! https://t.co/flCX8fnHbp,2020-04-21 18:31:39,Twitter Web App,7,31
5) Crystal Ridge Distillery is one of several distilleries in the state that switched from making drinkable alcohol to bottling hand sanitizer.  https://t.co/7cnr01Cryp,2020-04-20 17:01:49,Twitter Web App,0,1
4) Police departments across the state are making sure isolated children still have birthday celebrations.  https://t.co/kVfUjRVFtb,2020-04-20 16:57:54,Twitter Web App,1,2
3) David Mangan a Hot Springs resident and COVID-19 survivor became the first Arkansan to donate convalescent plasma to a clinical trial aimed at helping critically-ill patients.   https://t.co/OPtd0vlwEY,2020-04-20 16:56:30,Twitter Web App,0,3
2) @ARMathSciArts is using their 3D printing equipment to make face shields for health care workers.   https://t.co/BQsYAVdBFB,2020-04-20 16:56:30,Twitter Web App,0,3
1) Pine Bluff residents left their entire Economic Impact Payment as a tip at their local steakhouse.  https://t.co/evjMQuRrIA,2020-04-20 16:56:30,Twitter Web App,0,3
Even though many Americans are staying home reducing social interaction and working remotely our communities are still coming together to help each other.  These are just a few examples of the helpers in the Fourth District - people or businesses who assisted fellow Arkansans.,2020-04-20 16:56:29,Twitter Web App,1,10
Make sure to check out this new food access map compiled by Uplift Arkansas and @ARDeptofAgricul. It lists restaurants and food pantries across the state as well as which schools and organizations are offering free meals during school closures. https://t.co/orAyNyt4iy,2020-04-17 14:15:26,Twitter Web App,6,9
Thank you @ArFB! Communities coming together to support each other during crises is what Arkansas is all about. https://t.co/QlWevS6TSd,2020-04-16 19:42:08,Twitter Web App,2,13
Millions of Americans received their Economic Impact Payments in their bank accounts this morning. If you did not get yours the IRS website has a tracker where you can check the status of your payment or add your direct deposit information.  https://t.co/WYXunYHEe0,2020-04-15 14:25:03,Twitter Web App,2,1
For a full map of outages click here: https://t.co/jDfQSVNBYw,2020-04-14 19:40:50,Twitter for iPhone,0,1
As of 9 a.m. today @EntergyArk reported 37 transmission lines are still out of service from Sunday night’s storms. They are bringing in additional resources to help restore power to all the affected areas.  This link has updates for each county: https://t.co/HFUkLdH08u,2020-04-14 17:44:13,Twitter for iPhone,1,7
This week school buses outfitted with wifi routers are traveling to neighborhoods around Pine Bluff bringing internet to students who may not have reliable access.   These buses will ensure that remote education carries on even during difficult times.   https://t.co/C1u59Fv7Ih,2020-04-13 19:12:53,Twitter Web App,1,4
On April 17 the IRS will also launch a "Get My Payment" site where you can update your bank information change your address if you've moved check the status of your payment and more.  https://t.co/RmOlXq5f1x,2020-04-10 17:49:16,Twitter Web App,2,2
Treasury Department just launched a website where anyone who doesn't normally file taxes can enter their name SSN bank info etc. to receive their $1200 check.  🚨This is much simpler than filing a tax return🚨   Visit the IRS website for details:  https://t.co/VYhdR0jFRu https://t.co/cijtyyNH4l,2020-04-10 17:45:15,Twitter Web App,2,4
Students need reliable internet connections now more than ever as schools will remain closed for the rest of the academic year. Thank you OzarksGo for your hard work in increasing rural connectivity! https://t.co/4e1HRTPawK,2020-04-10 16:28:05,Twitter Web App,2,1
If you're a veteran struggling with job loss or a farmer needing skilled labor in time to plant this year's crop make sure to check out Arkansas Farm Corps for details on this new program. https://t.co/iKJSw4ZGUx,2020-04-08 19:08:25,Twitter Web App,1,2
Join us TONIGHT at 6:30 p.m. for a telephone town hall. You can dial in to the call or watch live at https://t.co/YfVQ7Rm4LH.   I look forward to hearing from you! https://t.co/6lHw0dbHHi,2020-04-07 17:28:39,Twitter Web App,1,0
The Arkansas Division of Workforce Services (DWS) is working overtime to get unemployment benefits to everyone who needs them.   This article has helpful info on timing what to expect and the systems DWS is implementing to deal with an influx of claims. https://t.co/1zaLqcWXvs,2020-04-07 16:29:44,Twitter Web App,1,1
To our nation's Gold Star families thank you for making the ultimate sacrifice for your country. We will always honor your loved ones' memories. https://t.co/aRigTDvGqV,2020-04-05 16:00:00,TweetDeck,1,3
I'm hosting a telephone town hall this Tuesday April 7 with special guest Dr. Nate Smith. This is the perfect opportunity for you to listen or watch live and ask any questions you have about COVID-19.  You can dial in to the call or watch live on my Facebook page. Full details: https://t.co/VYJQoUuXvN,2020-04-03 16:32:22,Twitter Web App,2,5
Important update: the Treasury Department just announced that Social Security recipients who do not file tax returns will NOT need to file anything additional to receive the $1200 individual tax rebate.  Recipients will receive these payments as direct deposit or by paper check. https://t.co/JPld26gix3,2020-04-02 14:57:37,Twitter Web App,2,5
Don't forget that we have a telephone town hall coming up tonight at 6:30 p.m. If you don't receive a call from me at that time you can watch live and ask questions at https://t.co/YfVQ7Rm4LH.  I look forward to talking with you! https://t.co/BGje0pcqtd,2020-04-01 14:55:30,Twitter Web App,3,4
Due to public health concerns we are moving this year's Congressional Art Competition online. To submit your piece just email a picture of it to AR04artcompetition@gmail.com.  For more details visit https://t.co/W1CKLRkzwa. I look forward to seeing your submissions! https://t.co/uGjPI2yY8l,2020-03-31 17:44:38,Twitter Web App,1,1
How will you receive your $1200 tax rebate? Information will be pulled from either your 2019 tax return (if filed) or 2018 return.  The amount will be directly deposited into your bank account or mailed if you didn't include direct deposit information in your tax form.,2020-03-30 20:53:39,Twitter Web App,1,3
There's never been a more timely day to celebrate #NationalDoctorsDay. Thank you for sacrificing personal safety to care for fellow Americans.  Thanks also to other medical professionals - EMTs nurses first responders and everyone else on the front lines of fighting this virus. https://t.co/4sK9htZhni,2020-03-30 16:01:04,Twitter Web App,1,2
So many incredible Americans are on the front lines of fighting this virus. Thank you for your service. We are #InThisTogether. https://t.co/0Hiwo3V0Vm,2020-03-29 19:01:57,Twitter for iPhone,2,9
Praying for Jonesboro and all those affected as they recover from this devastating tornado. All of Arkansas is behind you! https://t.co/AhVB2a7XMu,2020-03-29 18:59:51,Twitter for iPhone,1,10
The CARES Act addresses two priorities: the safety and health of citizens and economic viability. Funds will directly benefit American families and the businesses where they work.  There is no quick fix to eliminating the virus but this bill goes a long way in fighting COVID-19.,2020-03-27 17:50:38,Twitter Web App,0,4
UPDATE: Since I have to be in DC today for the House vote on the CARES Act we've postponed our telephone town hall to next Wednesday 4/1 at 6:30pm.  Tune in on Facebook Live for an update on COVID-19 as Dr. Patterson and I answer your questions. https://t.co/OQ48LCB8xG,2020-03-27 15:40:24,Twitter Web App,1,1
If you're pregnant and worried about the effects of COVID-19 there's good news: pregnant women don’t appear to be at a higher risk of infection and there have been no maternal deaths among the women studied. #ChooseHope  Learn more 👉 https://t.co/8Xl9ehLydl https://t.co/vL8SAhZfxR,2020-03-26 17:37:50,Twitter Web App,7,24
Join UAMS Chancellor Cam Patterson and me this Friday March 27 for a telephone town hall on COVID-19. If you don't receive a call from me at 6:30pm you can watch on Facebook live and ask questions there as well.  I hope you're able to listen in and receive updates on COVID-19. https://t.co/6n9NQDv9GM,2020-03-24 19:43:58,Twitter Web App,1,3
Many restaurants transitioning to drive-through only lack room for semis causing supply chain issues when truckers can’t get food. So @McDonalds announced they’ll expand curbside service!  Truckers can get food on the go by using the McDonald’s app to place an order for pickup.,2020-03-23 23:01:22,Twitter for iPhone,3,4
“We don’t need 48 hours we just need to make a decision to help families right now. Everybody could have a complaint about this or that. I say save it for another day." - @SpeakerPelosi talking about the first COVID-19 funding bill.  How much things have changed in 2 weeks.,2020-03-23 18:56:49,Twitter Web App,109,267
In the midst of COVID-19 be on guard against any false information or rumors spreading on social media. For a running list of some popular myths @fema has updated info as well as all the facts on what's actually happening.  https://t.co/J1D6xpOclW,2020-03-23 16:58:06,Twitter Web App,3,9
To all those on the front lines of fighting COVID-19 thank you. America is blessed to have so many incredible men and women working to keep us safe and healthy. #InThisTogether https://t.co/yiAw67GNQc,2020-03-20 19:26:23,Twitter Web App,4,11
Americans now have more time to file and pay taxes without incurring any additional penalties or fees. https://t.co/mHGwAlro0P,2020-03-20 14:50:33,Twitter Web App,1,1
Fantastic to see Walmart setting an example for how businesses can assist their employees and keep the supply chain running smoothly. #InThisTogether   https://t.co/sUI0Eo05jI,2020-03-20 13:41:52,Twitter Web App,5,5
If you are social distancing but don't have access to reliable wifi many colleges in Arkansas have expanded their internet access to parking lots. Check the list below to find one in your area: https://t.co/zBCm8wAsmf,2020-03-19 20:40:38,Twitter Web App,2,9
Veterans Benefits Administration regional offices will be closed to the public to protect older veterans and those with underlying health issues.  Veterans can get information or file claims at https://t.co/7MsdRGvCpm. If you have a claims specific question call 1-800-827-1000.,2020-03-19 13:41:10,Twitter Web App,1,0
Important information from President Trump on how to #StopTheSpread. We can all play a part in mitigating the severity of COVID-19. https://t.co/YNkkFbz8fl,2020-03-16 21:23:37,Twitter Web App,4,6
A brief update on what's happening with Coronavirus or COVID-19. https://t.co/1k2QBPcKvk,2020-03-13 16:00:00,Twitter Media Studio,2,6
As COVID-19 continues to spread please stay informed on how to protect yourself and those around you from contamination.  Visit https://t.co/s0uT0cEN6d or the Centers for Disease Control's website for the most accurate updated information. https://t.co/iyWV7yPSvt,2020-03-12 15:42:41,Twitter Web App,6,5
Ms. Bates was a steadfast community leader during a volatile time. Soon she'll be honored in the U.S. Capitol with a statue reminding everyone who visits of the impact one woman can have on an entire nation. #WomensHistoryMonth https://t.co/TaazWvgyMd,2020-03-11 20:16:55,Twitter Web App,2,7
When nine African American students (known today as the "Little Rock Nine") became the first to attend the all-white Central High School the Bates' home was the local headquarters for school integration.  Her efforts blazed the way for thousands of students across the country.,2020-03-11 20:16:55,Twitter Web App,0,1
This #WomensHistoryWednesday I'm honoring Ms. Daisy Bates. Ms. Bates and her husband operated the Arkansas State Press a newspaper advocating for equal rights. After the Brown v. Board of Education ruling Ms. Bates chronicled school desegregation.,2020-03-11 20:16:55,Twitter Web App,2,4
One of the best parts of my job is getting to notify students when they’ve been accepted into US service academies.  Congratulations to the future class of 2024! https://t.co/Ih10F8t8oF,2020-03-11 19:24:43,Twitter for iPhone,2,19
We talked about the protocols in place how the state is responding how to protect yourselves and more.   Again the risk to Arkansans remains low at this time. I'm monitoring the situation and will continue providing updates as they become necessary.,2020-03-11 18:29:15,Twitter Web App,0,1
With news of Arkansas' first confirmed case of COVID-19 I encourage you to watch last night's telephone town hall with @RepFrenchHill and Dr. Nate Smith from @ADHPIO. Visit https://t.co/YfVQ7Rm4LH to view the full event.,2020-03-11 18:29:15,Twitter Web App,3,3
I’m grieved to hear this news from my hometown this morning. My prayers are with Officer Scrimshire’s family and the whole Hot Springs Police Department during this tragic time.  https://t.co/UG2z2xnNv1,2020-03-11 12:08:45,Twitter for iPhone,4,10
Our full press release: https://t.co/0EVMVdx5NC,2020-03-10 22:05:31,Twitter Web App,0,5
The Trillion Trees Act reaches across the aisle and gives us a starting point a place to come to the table and negotiate on sustainable climate solutions.  Thanks to my colleagues who voiced support for the bill today - together we can put conservatives back into conservation! https://t.co/T8BBUMwWJu,2020-03-10 21:33:07,Twitter Web App,14,55
Congratulations Randy! This is such a prestigious honor and I'm looking forward to seeing all that you accomplish. https://t.co/3KkBgu1zQQ,2020-03-10 17:06:35,Twitter Web App,3,2
Thank you for having us! https://t.co/SfGB90nabV,2020-03-10 13:20:06,Twitter Web App,1,2
Important info from Governor Hutchinson on Arkansas' response to Coronavirus: https://t.co/BJ1mPKKCyS,2020-03-09 21:06:29,Twitter Web App,1,2
Fantastic week with the Arkansas Farm Bureau! I always look forward to their annual D.C. visit - it's a great chance to catch up on what's happening in Arkansas agriculture. https://t.co/UdzgmQNQAI,2020-03-05 21:50:26,Twitter Web App,4,13
Today Ms. Caraway's portrait hangs right outside the Senate chambers as a reminder to everyone of what women can accomplish in the face of adversity. #WomensHistoryWednesday https://t.co/YhlxnXfNsj,2020-03-04 22:21:18,Twitter Web App,0,1
Ms. Caraway served two full terms in the Senate which included committee assignments on Agriculture and Forestry. On her final day in office she received a standing ovation from her all-male colleagues.,2020-03-04 22:21:18,Twitter Web App,0,2
The governor appointed Ms. Caraway but Ms. Caraway surprised everyone when she announced she would run for a full term. "The time has passed when a woman should be placed in a position and kept there only while someone else is being groomed for the job" she told reporters.,2020-03-04 22:21:18,Twitter Web App,0,1
Up first is Ms. Hattie Caraway the first woman elected to the U.S. Senate in 1932. As a resident of Jonesboro AR Ms. Caraway initially became involved in politics when her husband Senator Thaddeus Caraway died in office in 1931.,2020-03-04 22:21:18,Twitter Web App,0,1
March is #WomensHistoryMonth  a time to celebrate the incredible women in America and across the world who have shaped history. Arkansas is home to many of them which is why I'm kicking off #WomensHistoryWednesday - to highlight Arkansan women who changed the nation.,2020-03-04 22:21:18,Twitter Web App,1,4
If you've ever been interested in attending a U.S. service academy but are unsure where to begin join us for an informational evening next week! I nominate students for academies every year and know the process can be daunting so my staff and I are here to help.  Details below: https://t.co/HHQ7YX2uJf,2020-03-04 21:22:19,Twitter Web App,1,0
I enjoyed starting the day by talking about the Trillion Trees Act and sustainable forestry with the Forest Service! They had great questions and input on how to implement positive change on the ground.  Thanks to Georgetown University's Government Affairs Institute for hosting. https://t.co/g3MYKjOAWX,2020-03-04 18:13:32,Twitter Web App,4,12
Mobile offices start TODAY. Visit my website to see when we'll be in your area - we can't wait to see you! https://t.co/mMumPeHxVs,2020-03-03 16:45:10,Twitter Web App,1,0
This is the first time in four years that NASA is accepting applications for its next class of astronauts - check out the details below.   Who knows maybe the next person to walk on the moon will be Arkansan! https://t.co/Vtoaf69LTn,2020-03-03 16:33:04,Twitter Web App,3,2
Arkansas has been a national leader in implementing the science of reading in our schools and we’re already seeing positive results.  I'm glad to join Rep. Houlahan on this bipartisan bill - let's help every student learn to read so they can read to learn! https://t.co/9eBFnOsRy4,2020-03-03 15:42:12,Twitter Web App,5,11
It's #ReadAcrossAmericaDay! Some of my favorite recent reads have been "Love Your Enemies" by Arthur Brooks and "Reforesting Faith" by Matthew Sleeth.  Books open up incredible new worlds and learning experiences - take some time to read one today 📚 https://t.co/kC5ZwTmB0r,2020-03-02 22:32:23,Twitter Web App,2,3
Wrapping up the past few days with a weekly update. Have a great weekend! https://t.co/FLp2ObUVQO,2020-02-28 18:23:47,Twitter Media Studio,3,10
I was glad to see so many young Republicans come last night to talk about their role in America's future! It's time to put conservatives back in conservation. https://t.co/rYQyXZvsxi,2020-02-28 15:11:38,Twitter Web App,13,78
This is why measured climate solutions are so important. I agree we should take action but not by gut punching our economy.  Plus banning fracking does nothing to solve the problem of carbon that's already in the atmosphere hence why we need more trees! https://t.co/Oj8dI2BB75,2020-02-27 17:45:45,Twitter Web App,2,8
My full written testimony for today's committee hearing:  https://t.co/wJZdT7Rak8,2020-02-26 21:12:51,Twitter Web App,1,2
Every American can support planting a tree. The Trillion Trees Act isn't the only climate solution but it's the best way to begin bipartisan reform.  I'm ready to work with my colleagues on both sides of the aisle to make our forests healthier stronger and more resilient. https://t.co/XALeYtr9b1,2020-02-26 21:12:51,Twitter Web App,13,35
No further questions. https://t.co/QSn9X9VzlU,2020-02-26 19:20:42,Twitter Web App,76,208
Actually it would   🌲 Use scientific forest management which = healthier forests 🌱 Reclaim marginal ag land and aid private landowners 🚗 Capture 2/3 of all manmade carbon emissions since the Industrial Revolution  Planting trees is the most practical climate solution we have. https://t.co/stA0HRZKuT,2020-02-26 16:34:12,Twitter for iPhone,6,17
"We can – and should – work together to find bipartisan ways to properly manage our forests revitalize rural economies and reduce our impact on the environment. Legislation like the Trillion Trees Act does exactly that."  Thank you @RepNewhouse!  https://t.co/lTeaMkk0nG,2020-02-26 14:24:20,Twitter Web App,6,11
Congratulations @martyryall! Grateful for all you do for Arkansas broadcasting. https://t.co/zb8qHXk6oi,2020-02-25 18:39:57,Twitter Web App,4,8
Thanks for the king cake @SteveScalise! Happy Mardi Gras! https://t.co/PeXG4QTyft,2020-02-25 18:38:14,Twitter for iPhone,13,101
Starting next Tuesday my staff will be traveling to every county in our district to set up mobile offices.   Come by to voice your concerns get help with a casework issue or just say hello - we'd love to see you! https://t.co/Vyr7yhV1ps,2020-02-25 16:46:50,Twitter Web App,2,5
Duck duck Bruce! 🦆  Special thanks to Ducks Unlimited for inviting me to band  mallards with them. Banding ducks is a way to follow migration patterns habitat needs and more.  Keeping track of wildlife is an important part of conservation and I was glad to see it firsthand. https://t.co/jS2Z7pNLW5,2020-02-24 20:37:28,Twitter Web App,6,41
Katherine Johnson's incredible contributions to putting men on the moon will not be forgotten. We mourn our loss but know she will continue inspiring young scientists for years to come.  https://t.co/TN1ZUmM5vd,2020-02-24 18:42:28,Twitter Web App,2,3
The US Capitol is stunning both inside and out featuring incredible quotes from our leaders. This Teddy Roosevelt quote sums up why American resources are so important. Through conservation - not preservation - we increase their value for future generations to enjoy. https://t.co/jnDd9LKfSW,2020-02-24 18:02:43,Twitter for iPhone,5,19
Environmental stewardship can go hand-in-hand with increased ag production and USDA's initiative is a huge step in the right direction. I'm particularly interested in the carbon sequestration component as it ties in well with my Trillion Trees Act.  More about the project: https://t.co/hPFey4gjrY,2020-02-24 17:03:11,Twitter Web App,4,9
The annual Congressional Art Competition is an amazing chance to showcase young people's art from across the country. The winner from each congressional district will have their art displayed in the U.S. Capitol for a year.   I look forward to seeing your submissions this year! https://t.co/cwyoWKSd2W,2020-02-17 16:58:00,TweetDeck,3,3
Great to join @BloombergTV this morning to discuss the Trillion Trees Act! https://t.co/awhDN4PbnQ,2020-02-13 17:04:44,Twitter Media Studio,6,15
Actually @SenSchumer I already introduced a bipartisan bill - H.R. 2200 - that would aid thousands of Vietnam-era veterans with their Agent Orange claims and fix this exact issue.   Maybe @SpeakerPelosi is the one you should be asking to bring this legislation to the floor? https://t.co/k7o18JthLU,2020-02-12 22:18:18,Twitter Web App,4,7
I was just debating these restrictions on the House floor - this is an important thread to read 👇 https://t.co/3zIOh1hjyL,2020-02-12 20:15:21,Twitter Web App,1,5
Hot off the presses! 📰 Read all about the Trillion Trees Act as well as hear from the members who cosponsored the bill.   https://t.co/BlSNdL8WmG,2020-02-12 19:54:52,Twitter Web App,15,26
We have an obligation to conserve our resources for future generations and I challenge anyone to find a better climate solution than taking care of our forests.  I introduced the Trillion Trees Act today. Now let's get it passed into law this year!  https://t.co/iWgehRWE7c,2020-02-12 18:01:50,Twitter Web App,188,650
Today many of our Jewish friends around the world are honoring Tu BiShvat the "New Year of the Trees." Planting trees is always a reason to celebrate!   https://t.co/qBDXm09spl,2020-02-10 20:52:12,Twitter Web App,4,10
The numbers don't lie: the amount of American jobs is on the rise and our economy is benefiting as a result. #JobsReport   https://t.co/sNEGP1zoCi,2020-02-07 14:41:00,Twitter Web App,3,13
Great to speak with @ForestandPaper tonight about the importance of wood products. Trees are the ultimate renewable resource and I’m grateful for all that AF&amp;PA does for the industry. https://t.co/6wHOhYXMOq,2020-02-05 23:19:59,Twitter for iPhone,1,15
The most advanced carbon capture tool we have is growing right in our backyards. I'm excited to aid POTUS in putting this plan into action. 🌲 https://t.co/mfxTqbKUyG,2020-02-05 03:07:30,Twitter Web App,10,27
The Trillion Trees Act will plant more trees grow more wood and store more carbon. Most importantly it will show future generations the importance of environmental stewardship.  I'll be introducing this bill in the next few days - stay tuned for more. https://t.co/dRTbZn4OK2,2020-02-05 02:58:59,Twitter Web App,5,25
"The United States will join the One Trillion Trees Initiative an ambitious effort to bring together government and the private sector to plant new trees in America and around the world." - @realDonaldTrump   POTUS has the goal. I have the plan. #SOTU,2020-02-05 02:58:59,Twitter Web App,18,60
"Our agenda is relentlessly pro-worker pro-family pro-growth and more significantly pro-American." #SOTU,2020-02-05 02:13:43,Twitter Web App,60,236
My #SOTU2020 guest is Ms. Neva “Skeet” Baker a champion for conservative values in Arkansas. This is her last year as chairwoman of the Columbia County Republican Party and I’m so pleased she’s able to attend this historic address with me. https://t.co/50E8s1XVyl,2020-02-04 22:15:16,Twitter for iPhone,1,9
